class,class id,ap,ap50,ap25
chair,0.6518572802624222,0.7548331364001946,0.7666440042899513
table,0.43108076174043963,0.5353448275862069,0.5697445972495089
door,0.41757337069322403,0.5057674058034938,0.5280091387587483
couch,0.2918565104132114,0.35959877403176377,0.42845813979834596
cabinet,0.2363541731087927,0.33808724832214765,0.36520319303338167
shelf,0.18735592378516028,0.26010302546615394,0.3112189015803474
desk,0.17311845514148488,0.2847300337457818,0.3317017805206781
office chair,0.0,0.0,0.0
bed,0.48187045237299686,0.6248636859323882,0.6680769230769231
pillow,0.4174190306431838,0.5629478223759574,0.6081399788863682
sink,0.4237283362242421,0.5416666666666666,0.6080812101910829
picture,0.4564508438171495,0.5388997760358343,0.579845686228665
window,0.09712043982115354,0.1380952380952381,0.17113502935420744
toilet,0.6830254987771995,0.7095516569200779,0.7167098073051481
bookshelf,0.034388507500635636,0.04004576659038901,0.05193905817174515
monitor,0.5560723900781137,0.6763436368699527,0.7256353318529485
curtain,0.3266642116793435,0.42602058202139986,0.5967359464360441
book,0.3264163722610823,0.47357198091027675,0.5584119892240454
armchair,0.14079794079794083,0.1447876447876448,0.1447876447876448
coffee table,0.055232558139534885,0.061046511627906974,0.061046511627906974
box,0.19960837770369647,0.2947232178414974,0.45158872901678654
refrigerator,0.4497396477971033,0.5556302521008404,0.5816326530612245
lamp,0.369387341102526,0.47777777777777775,0.4840579710144927
kitchen cabinet,0.0,0.0,0.0
towel,0.3422359067382129,0.4340975116837186,0.5051020408163265
clothes,0.03916666666666666,0.07,0.09090909090909091
tv,0.6884746782007056,0.7622309197651663,0.7781228433402346
nightstand,0.0,0.0,0.0
counter,0.0,0.0,0.0
dresser,0.0,0.0,0.03658536585365854
stool,0.3678835978835979,0.42900000000000005,0.42095238095238097
cushion,0.0,0.0,0.0
plant,0.24772752233069692,0.3194662480376766,0.40326530612244904
ceiling,0.035769000597283857,0.050761421319796954,0.06526468455402465
bathtub,0.5902481440588331,0.69109396914446,0.7027126099706744
end table,0.0,0.0,0.0
dining table,0.0,0.0,0.0
keyboard,0.5115151515151515,0.5956363636363636,0.6
bag,0.22073560966898595,0.27971059113300495,0.3005855562784645
backpack,0.49651287570141317,0.6069254185692542,0.6418620849779428
toilet paper,0.18501579581826494,0.2828282828282828,0.3580246913580247
printer,0.5669627510536601,0.6314685314685315,0.6314685314685315
tv stand,0.0,0.0,0.0
whiteboard,0.0,0.0,0.0
blanket,0.02739893000210837,0.06261859582542695,0.09677419354838711
shower curtain,0.0,0.0,0.0
trash can,0.24888812052299306,0.2728947524811315,0.281313623085775
closet,0.0,0.0,0.0
stairs,0.1111111111111111,0.25,0.25
microwave,0.44164332399626516,0.546218487394958,0.546218487394958
stove,0.22167755991285404,0.39215686274509803,0.39215686274509803
shoe,0.36357254307313647,0.49620253164556966,0.5951470588235295
computer tower,0.0,0.0,0.0
bottle,0.13828159315653343,0.2021746517159361,0.27267573696145125
bin,0.0,0.0,0.0
ottoman,0.301994301994302,0.3076923076923077,0.3076923076923077
bench,0.25757575757575757,0.25757575757575757,0.25757575757575757
board,0.005562517404622667,0.02506265664160401,0.02513227513227513
washing machine,0.09248971193415637,0.2518518518518518,0.4344618055555556
mirror,0.26475168602590615,0.38443935926773454,0.5432030820033021
copier,0.0,0.0,0.0
basket,0.09597484134521173,0.17307692307692307,0.36231884057971014
sofa chair,0.0,0.0,0.0
file cabinet,0.0,0.0,0.0
fan,0.3195536954222885,0.39215686274509803,0.46875
laptop,0.1783703703703704,0.2737777777777778,0.4022727272727272
shower,0.0,0.0,0.0
paper,0.031238818233767736,0.031265031265031266,0.031425364758698095
person,0.0,0.0,0.0
paper towel dispenser,0.0,0.0,0.0
oven,0.20825817700817703,0.2976190476190476,0.3
blinds,0.0,0.0,0.0
rack,0.0,0.0,0.1090909090909091
plate,0.0,0.0,0.08823529411764705
blackboard,0.4258735715002653,0.5741666666666667,0.5674603174603174
piano,0.15873015873015872,0.42857142857142855,0.7142857142857143
suitcase,0.4559254171754172,0.4946031746031746,0.5066666666666666
rail,0.14348594430420444,0.1763668430335097,0.20416666666666666
radiator,0.22676436599200825,0.30521680216802166,0.37574159525379036
recycling bin,0.0,0.0,0.0
container,0.0,0.0,0.0
wardrobe,0.15555555555555556,0.15555555555555556,0.15555555555555556
soap dispenser,0.505421611880942,0.5059808612440192,0.5085995085995086
telephone,0.3175047478856004,0.44667832167832167,0.49971412235563184
bucket,0.36495726495726494,0.38974358974358975,0.38974358974358975
clock,0.45047699214365877,0.5088383838383839,0.5965909090909091
stand,0.0,0.0,0.0
light,0.15704429920116192,0.22058823529411764,0.225
laundry basket,0.0,0.0,0.0
pipe,0.0,0.0,0.07252747252747252
clothes dryer,0.0,0.0,0.0
guitar,0.0,0.0,0.3333333333333333
toilet paper holder,0.0,0.0,0.0
seat,0.0,0.0,0.0
speaker,0.0,0.0,0.0
column,0.0,0.0,0.0
bicycle,nan,nan,nan
ladder,0.16507936507936508,0.19999999999999998,0.19999999999999998
bathroom stall,0.0,0.0,0.0
shower wall,0.0,0.0,0.0
cup,0.06457389757792983,0.1432258064516129,0.20413793103448277
jacket,0.022727272727272728,0.022727272727272728,0.022727272727272728
storage bin,0.0,0.0,0.0
coffee maker,0.6679012345679012,0.7,0.7
dishwasher,0.44490740740740736,0.5541666666666667,0.595
paper towel roll,0.0,0.0,0.0
machine,0.18055555555555555,0.3333333333333333,0.3333333333333333
mat,0.0,0.0,0.0
windowsill,0.0,0.0,0.0
bar,0.0,0.0,0.0
toaster,0.0,0.0,0.0
